Date,Close,Open,High,Low,Volume
01/02/1990,17.24,17.153799999999997,17.412399999999998,17.0676,50000000
01/03/1990,18.19,18.099050000000002,18.3719,18.008100000000002,50000000
01/04/1990,19.22,19.1239,19.4122,19.0278,50000000
01/05/1990,20.11,20.00945,20.3111,19.9089,50000000
01/08/1990,20.26,20.158700000000003,20.462600000000002,20.0574,50000000
01/09/1990,22.2,22.089,22.422,21.977999999999998,50000000
01/10/1990,22.44,22.3278,22.6644,22.215600000000002,50000000
01/11/1990,20.05,19.94975,20.250500000000002,19.8495,50000000
01/12/1990,24.64,24.5168,24.886400000000002,24.3936,50000000
01/15/1990,26.34,26.2083,26.6034,26.0766,50000000
01/16/1990,24.18,24.0591,24.4218,23.9382,50000000
01/17/1990,24.16,24.0392,24.401600000000002,23.9184,50000000
01/18/1990,24.34,24.2183,24.5834,24.0966,50000000
01/19/1990,22.5,22.3875,22.725,22.275,50000000
01/22/1990,26.7,26.566499999999998,26.967,26.433,50000000
01/23/1990,24.72,24.5964,24.9672,24.4728,50000000
01/24/1990,25.39,25.26305,25.643900000000002,25.1361,50000000
01/25/1990,25.63,25.501849999999997,25.8863,25.3737,50000000
01/26/1990,26.28,26.148600000000002,26.5428,26.017200000000003,50000000
01/29/1990,26.44,26.3078,26.704400000000003,26.1756,50000000
01/30/1990,27.25,27.11375,27.5225,26.9775,50000000
01/31/1990,25.36,25.2332,25.613599999999998,25.1064,50000000
02/01/1990,24.87,24.74565,25.1187,24.6213,50000000
02/02/1990,24.32,24.1984,24.563200000000002,24.0768,50000000
02/05/1990,24.54,24.417299999999997,24.7854,24.2946,50000000
02/06/1990,24.69,24.56655,24.9369,24.4431,50000000
02/07/1990,24.29,24.16855,24.532899999999998,24.0471,50000000
02/08/1990,23.77,23.65115,24.0077,23.5323,50000000
02/09/1990,23.69,23.571550000000002,23.9269,23.453100000000003,50000000
02/12/1990,24.38,24.2581,24.6238,24.1362,50000000
02/13/1990,23.76,23.6412,23.997600000000002,23.5224,50000000
02/14/1990,22.05,21.93975,22.270500000000002,21.8295,50000000
02/15/1990,19.71,19.61145,19.9071,19.512900000000002,50000000
02/16/1990,20.78,20.6761,20.9878,20.572200000000002,50000000
02/20/1990,22.78,22.6661,23.0078,22.552200000000003,50000000
02/21/1990,23.89,23.77055,24.1289,23.6511,50000000
02/22/1990,22.54,22.4273,22.7654,22.3146,50000000
02/23/1990,23.69,23.571550000000002,23.9269,23.453100000000003,50000000
02/26/1990,23.56,23.4422,23.7956,23.324399999999997,50000000
02/27/1990,22.69,22.57655,22.916900000000002,22.4631,50000000
02/28/1990,21.99,21.880049999999997,22.209899999999998,21.7701,50000000
03/01/1990,21.9,21.790499999999998,22.119,21.680999999999997,50000000
03/02/1990,21.34,21.2333,21.5534,21.1266,50000000
03/05/1990,22.03,21.91985,22.250300000000003,21.8097,50000000
03/06/1990,20.55,20.44725,20.7555,20.3445,50000000
03/07/1990,19.1,19.0045,19.291,18.909000000000002,50000000
03/08/1990,19.74,19.641299999999998,19.9374,19.542599999999997,50000000
03/09/1990,20.3,20.1985,20.503,20.097,50000000
03/12/1990,20.07,19.96965,20.2707,19.8693,50000000
03/13/1990,21.05,20.94475,21.2605,20.8395,50000000
03/14/1990,19.65,19.55175,19.8465,19.4535,50000000
03/15/1990,18.81,18.71595,18.998099999999997,18.6219,50000000
03/16/1990,17.62,17.5319,17.796200000000002,17.4438,50000000
03/19/1990,18.29,18.198549999999997,18.4729,18.1071,50000000
03/20/1990,19.06,18.964699999999997,19.2506,18.8694,50000000
03/21/1990,20.1,19.9995,20.301000000000002,19.899,50000000
03/22/1990,22.74,22.626299999999997,22.967399999999998,22.5126,50000000
03/23/1990,20.46,20.3577,20.6646,20.2554,50000000
03/26/1990,19.59,19.49205,19.7859,19.394099999999998,50000000
03/27/1990,21.01,20.904950000000003,21.220100000000002,20.7999,50000000
03/28/1990,19.77,19.67115,19.9677,19.5723,50000000
03/29/1990,18.46,18.3677,18.6446,18.2754,50000000
03/30/1990,19.73,19.63135,19.9273,19.532700000000002,50000000
04/02/1990,22.84,22.7258,23.0684,22.6116,50000000
04/03/1990,20.44,20.3378,20.6444,20.2356,50000000
04/04/1990,22.03,21.91985,22.250300000000003,21.8097,50000000
04/05/1990,21.21,21.10395,21.4221,20.9979,50000000
04/06/1990,21.76,21.651200000000003,21.977600000000002,21.5424,50000000
04/09/1990,22.3,22.1885,22.523,22.077,50000000
04/10/1990,21.69,21.58155,21.9069,21.473100000000002,50000000
04/11/1990,17.73,17.64135,17.9073,17.5527,50000000
04/12/1990,19.8,19.701,19.998,19.602,50000000
04/16/1990,20.75,20.64625,20.9575,20.5425,50000000
04/17/1990,20.38,20.2781,20.5838,20.176199999999998,50000000
04/18/1990,22.67,22.55665,22.896700000000003,22.4433,50000000
04/19/1990,22.46,22.3477,22.6846,22.235400000000002,50000000
04/20/1990,23.33,23.21335,23.563299999999998,23.0967,50000000
04/23/1990,24.16,24.0392,24.401600000000002,23.9184,50000000
04/24/1990,21.7,21.5915,21.916999999999998,21.483,50000000
04/25/1990,20.86,20.7557,21.0686,20.6514,50000000
04/26/1990,20.25,20.14875,20.4525,20.0475,50000000
04/27/1990,22.19,22.079050000000002,22.411900000000003,21.9681,50000000
